Tag,Count,Tag,Count,,docsWtables,,,docsWadd
add,11,list,35,,1.134,xx,,4.2402
addName,22,listPerson,1,,1.211,xx,,4.2682
address,"2,246",listPlace,1,,1.219,xx,,3.1096
author,12,location,66,,1.229,xx,,3.1474
bibl,279,note,"46,866",,1.87,xx,,3.1604
birth,464,opener,"3,800",,chrono,xx,,4.2125
body,"4,373",orig,2,,2.333,xx,,4.2127
cell,"1,864",p,"28,302",,2.371,xx,,4.2218
choice,2,pb,1,,3.1314,xx,,4.2253
closer,"4,163",persName,531,,3.1466,xx,,4.2266
corr,2,person,530,,3.1603,xx,,4.2101
date,"12,756",place,66,,3.1624,xx,,
dateline,"2,219",placeName,"2,352",,3.1721,xx,,
death,483,postscript,"2,034",,3.974,xx,,
del,"17,240",quote,25,,3.1270,xx,,
delSpan,removed 1,ref,"43,267",,3.1288,xx,,
desc,66,roleName,61,,4.1729,xx,,
distinct, removed 1,row,909,,4.1812,xx,,
div,"4,379",salute,"8,260",,4.1827,xx,,
emph,2,signed,"4,056",,4.1834,xx,,
epigraph,43,surname,557,,4.1873,xx,,
floruit,4,table,34,,4.2475,xx,,
foreign,1,term,10,,4.2630,xx,,
forename,523,text,"4,373",,5.3005,xx,,
geo,132,time,33,,5.3041,xx,,
head,"4,381",title,"48,361",,6.3699,xx,,
item,"4,650",unclear,2,,,,,
l,"29,278",,,,,,,
label,10,,,,1.201,new,,
lb,"17,847",,,,,,,
lg,"2,454",,,,,,,
