"Acland, Thomas Dyke"
Mentioned In, URL
Letter 4.2600 20 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2600.html
Letter 5.2981 28 April 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2981.html
Letter 5.2999 28 May 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2999.html
Letter 5.3159 7 July 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3159.html
Letter 6.3498 25 June 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3498.html
Letter 6.3710 5 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3710.html
Letter 6.3715 19–20 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3715.html
Letter 6.3718 23 August 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3718.html
Letter 7.3968 23 February 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3968.html
Letter 7.3979 14 March 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3979.html
Letter 7.4017 12 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4017.html
Letter 7.4104 22 December 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4104.html
Letter 7.4106 24 December[–26 December] 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4106.html
Letter 7.4120 11 January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4120.html
Letter 7.4121 14[–15] January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4121.html
Letter 7.4130 8 February 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4130.html
Letter 7.4308 31 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4308.html
Letters To, URL
Letter 7.4103 22 December 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4103.html
Letter 7.4108 26 December 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4108.html
