Aikin  Arthur
Mentioned In, URL
Letter 2.628 19 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.628.html
Letter 2.761 20 February 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.761.html
Letter 2.802 23 June 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.802.html
Letter 2.806 13 July 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.806.html
Letter 2.834 [early September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.834.html
Letter 3.1009 29 December 18[04],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1009.html
Letter 3.1010 30 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1010.html
Letter 3.1013 8 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1013.html
Letter 3.1019 14 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1019.html
Letter 3.1039 19 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1039.html
Letter 3.1087 26 July 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1087.html
Letter 3.1088 26 July [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1088.html
Letter 3.1102 2 September 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1102.html
Letter 3.1108 1 October 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1108.html
Letter 3.1114 22 October 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1114.html
Letter 3.1117 7 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1117.html
Letter 3.1119 14 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1119.html
Letter 3.1126 27 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1126.html
Letter 3.1132 10 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1132.html
Letter 3.1133 17 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1133.html
Letter 3.1169 21 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1169.html
Letter 3.1174 12 April 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1174.html
Letter 3.1177 [c. 23–25 April 1806] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1177.html
Letter 3.1180 14 May [1806] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1180.html
Letter 3.1186 22 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1186.html
Letter 3.1206 5 August 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1206.html
Letter 3.1215 13 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1215.html
Letter 3.1260 17 January 1807 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1260.html
Letter 3.1301 [started before and continued on] 30 March 1807 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1301.html
Letter 3.1381 24 November 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1381.html
