"Aikin, John"
Letters To:, URL
"Letter 1.152, [May 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.152.html
"Letter 1.163, 28 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.163.html
"Letter 1.164, 3 July 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.164.html
"Letter 1.172, 2 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.172.html
"Letter 1.173, 3 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.173.html
"Letter 1.174, 3 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.174.html
"Letter 1.175, 6 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.175.html
"Letter 1.177, 12 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.177.html
"Letter 1.179, October 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.179.html
"Letter 1.180, October 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.180.html
"Letter 1.183, [c. November 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.183.html
"Letter 1.185, 3 November 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.185.html
"Letter 1.188, [c. December 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.188.html
"Letter 1.194, 5 January 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.194.html
"Letter 1.196, 28 January 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.196.html
"Letter 1.208, [c. April 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.208.html
"Letter 1.241, [c. August 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.241.html
"Letter 1.242, [c. August 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.242.html
