Allen  Robert
Mentioned In, URL
Letter 1.103 7 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.159 [started before and continued on 12 June 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
Letter 1.162 26 June 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.167 26 July 1796 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.167.html
Letter 1.168 31 July [–2 August] 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.168.html
Letter 1.169 28 August 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
Letter 1.187 [started before 11 November 1796; continued 17 November 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.187.html
Letter 1.190 8 December [1796] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.190.html
Letter 1.204 13 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
Letter 1.217 [c. 18 May 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 1.83 23 March [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.83.html
Letter 1.85 5–6 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.85.html
Letter 1.86 13 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.86.html
Letter 1.87 16[–20] April 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.87.html
Letter 1.89 11 [–18] May 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.89.html
Letter 1.94 12 [–?] June 1794 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.94.html
Letter 1.95 25 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.95.html
Letter 1.99 22 August–3 September 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.99.html
Letter 2.813 28 July [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.813.html
Letter 3.1041 1 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1041.html
Letter 3.1153 8 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1153.html
Letter 3.1188 27 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1188.html
Letter 3.1709 13 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1709.html
Letter 4.1746 11 February 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1746.html
Letter 4.2090 6–10 May [1812],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2090.html
Letter 4.2618 18 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2618.html
Letter 6.3690 2 June 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3690.html
Letters To, URL
