"Amyot, Thomas"
Letters To:, URL
"Letter 4.1912, 29 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1912.html
Mentioned In:, URL
"Letter 4.1830, 28 November 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1830.html
"Letter 4.1831, 1 December 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1831.html
"Letter 4.1832, 1 December 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1832.html
"Letter 4.1833, 2 December 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1833.html
"Letter 4.1856, 22 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1856.html
"Letter 4.2057, 10 March 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2057.html
"Letter 7.4263, 13 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4263.html
