"Barker, Mary"
Letters To:, URL
"Letter 2.536, 8 July [1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.536.html
"Letter 2.585, [mid-June-]21 October 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.585.html
"Letter 2.612, 10 October 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.612.html
"Letter 2.626, [mid-late November 1801]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.626.html
"Letter 2.648, [8 January 1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.648.html
"Letter 2.680, [started before and continued on] 28 May 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.680.html
"Letter 2.692, 9 July 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.692.html
"Letter 2.711, 1 September 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.711.html
"Letter 2.752, 14 January 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.752.html
"Letter 2.790, [late May-]1 June 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.790.html
"Letter 2.800, 22 June [1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.800.html
"Letter 2.821, 19 August [1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.821.html
"Letter 2.826, [24 August 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.826.html
"Letter 2.830, [25 August 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.830.html
"Letter 2.831, [28 August 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.831.html
"Letter 2.835, 8 September [1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.835.html
"Letter 2.857, [27 November 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.857.html
"Letter 2.861, [6 December 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.861.html
"Letter 3.1000, 10 December [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1000.html
"Letter 3.1009, 29 December 18[04]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1009.html
"Letter 3.1027, 26 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1027.html
"Letter 3.1065, 11 May 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1065.html
"Letter 3.1079, 6 July 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1079.html
"Letter 3.1093, 20 August 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1093.html
"Letter 3.1103, 4 September [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1103.html
"Letter 3.1126, 27 November 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1126.html
"Letter 3.1149, 24 January 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1149.html
"Letter 3.1150, 31 January 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1150.html
"Letter 3.1158, [22 February 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1158.html
"Letter 3.1175, 15 April [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1175.html
"Letter 3.1187, 26 May 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1187.html
"Letter 3.1195, 27 June 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1195.html
"Letter 3.1205, 1 August [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1205.html
"Letter 3.1219, 25 September 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1219.html
"Letter 3.1224, 11 October 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1224.html
"Letter 3.1233, 3 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1233.html
"Letter 3.1273, 4 February 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1273.html
"Letter 3.1305, 10 April 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1305.html
"Letter 3.1321, 12 May 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1321.html
"Letter 3.1366, 2 October 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1366.html
"Letter 3.1375, 26 October 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1375.html
"Letter 3.1386.1, 1 December 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1386.1.html
"Letter 3.1401, 21 December 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1401.html
"Letter 3.1420, 2 February 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1420.html
"Letter 3.1421, 9 February 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1421.html
"Letter 3.1432, [c. 14 March 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1432.html
"Letter 3.1450, 28 April 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1450.html
"Letter 3.1467, 14 June 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1467.html
"Letter 3.1471, 22 June 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1471.html
"Letter 3.1491, 14 August 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1491.html
"Letter 3.1511, [c. 20 September 1808]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1511.html
"Letter 3.1512, 27 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1512.html
"Letter 3.1575, 6 February 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1575.html
"Letter 3.1628, 13 May 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1628.html
"Letter 3.1678, 8 September 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1678.html
"Letter 3.1700, 24 October 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1700.html
"Letter 3.896, 17 February 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.896.html
"Letter 3.906, 3 March 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.906.html
"Letter 3.920, 3 April 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.920.html
"Letter 3.925, 18 April 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.925.html
"Letter 3.930, [1] May 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.930.html
"Letter 3.936, 7 May 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.936.html
"Letter 3.945, 29 May [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.945.html
"Letter 3.950, 8 June 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.950.html
"Letter 3.973, 5 August 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.973.html
"Letter 3.982, [14 October 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.982.html
"Letter 4.1736, 29 January 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1736.html
"Letter 4.1785, 13 June 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1785.html
"Letter 4.1790, [c. June 1810]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1790.html
"Letter 4.1847, [December 1810]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1847.html
"Letter 4.1863, 3 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1863.html
"Letter 4.1889, 24 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
"Letter 4.1909, 22 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1909.html
"Letter 4.1930, 4 June 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1930.html
"Letter 4.1980, 6 November [1811]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1980.html
"Letter 4.2014, 8 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2014.html
"Letter 4.2022, 28 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2022.html
"Letter 4.2037, 13 February 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2037.html
"Letter 4.2087, 3 May 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2087.html
"Letter 4.2098, 20 May 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2098.html
"Letter 4.2102, 28 May 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2102.html
"Letter 4.2112, 9 June 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2112.html
"Letter 4.2311, 8 October 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2311.html
"Letter 4.2325, 9 November 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2325.html
"Letter 4.2348, 15–17 December 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2348.html
"Letter 4.2422, 14 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2422.html
"Letter 4.2540, c. 13 January 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2540.html
"Letter 4.2657, 1 October 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
"Letter 4.2669, 9 November 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2669.html
"Letter 5.3072, [29 January 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3072.html
"Letter 5.3130, [late April 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3130.html
