Barnes  Frederick
Mentioned In, URL
Letter 1.15 [c. 18 June 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.15.html
Letter 1.25 [c. 29 September 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.25.html
Letter 1.3 [c. 3 April 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.3.html
Letter 1.42 25 January –8 [February] 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.42.html
Letter 1.60 14 [–18] October 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.60.html
Letter 1.75 22 December 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.75.html
Letter 1.8 [c. 26 April 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.8.html
Letter 1.83 23 March [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.83.html
Letter 1.84 4 April 1794 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.84.html
Letter 6.3723 1 September 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3723.html
Letters To, URL
