"Bedford, Grosvenor
							Charles"
Letters To:, URL
"Letter 1.10, [c. 14 May 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.10.html
"Letter 1.100, [c. 2 September 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.100.html
"Letter 1.104, 10 September 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.104.html
"Letter 1.105, [c. 27 September 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.105.html
"Letter 1.107, 13 October 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.107.html
"Letter 1.108, [before 15 October 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.108.html
"Letter 1.11, [c. 31 May 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.11.html
"Letter 1.111, 24 [October] 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.111.html
"Letter 1.115, [22 November 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.115.html
"Letter 1.117, [3 December 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.117.html
"Letter 1.119, 5 January 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
"Letter 1.124, 8 [–9] February 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.124.html
"Letter 1.127, [possibly started before and continued on 12 May 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.127.html
"Letter 1.128, [started before and continued on] 25 May [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.128.html
"Letter 1.129, [14 June 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.129.html
"Letter 1.13, [c. 11 June 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.13.html
"Letter 1.130, [1 July 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.130.html
"Letter 1.131, [12 July 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
"Letter 1.133, [c. 22 August 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.133.html
"Letter 1.134, [started before and continued on] 1 September [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.134.html
"Letter 1.135, [c. 1 October 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
"Letter 1.136, 1–10 October 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
"Letter 1.137, [started before and continued on] 23 October [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.137.html
"Letter 1.138, 6 November [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.138.html
"Letter 1.139, 17 November 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.139.html
"Letter 1.141, [21–] 22 November [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.141.html
"Letter 1.142, 29 [–30] November 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.142.html
"Letter 1.145, [December 1795–] 20 February [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.145.html
"Letter 1.149, 24 February – 2 March 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
"Letter 1.154, 15 May 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.154.html
"Letter 1.157, 27 May 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.157.html
"Letter 1.159, [started before and continued on 12 June 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
"Letter 1.16, [c. 21 June 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.16.html
"Letter 1.161, [22 June 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.161.html
"Letter 1.162, 26 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
"Letter 1.165, [started before and continued on 17 July 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.165.html
"Letter 1.167, 26 July 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.167.html
"Letter 1.168, 31 July [–2 August] 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.168.html
"Letter 1.17, [c. 9 July 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
"Letter 1.170, 29 August [–7 September] 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.170.html
"Letter 1.176, 9 September 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.176.html
"Letter 1.178, 25 September [–14 October] 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.178.html
"Letter 1.184, 1 November [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.184.html
"Letter 1.187, [started before 11 November 1796; continued 17 November 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.187.html
"Letter 1.19, [c. 31 July 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.19.html
"Letter 1.190, 8 December [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.190.html
"Letter 1.192, 19 December 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.192.html
"Letter 1.193, 1–7 January 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.193.html
"Letter 1.198, 30 January [– 2 February] 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.198.html
"Letter 1.218, 25 May 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.218.html
"Letter 1.229, [c. 30 June 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.229.html
"Letter 1.23, [c. September 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.23.html
"Letter 1.235, 16 [– 17] July 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.235.html
"Letter 1.243, [c. 3 August 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.243.html
"Letter 1.246, [c. sometime between 10–19 August 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.246.html
"Letter 1.25, [c. 29 September 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.25.html
"Letter 1.252, 3 September 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.252.html
"Letter 1.254, 6 September 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.254.html
"Letter 1.257, [16 September 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.html
"Letter 1.259, 30 September 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.259.html
"Letter 1.26, [c. 6 October 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
"Letter 1.260, 1 – 18 October [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.260.html
"Letter 1.268, 7 November 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.268.html
"Letter 1.271, 12 November 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.271.html
"Letter 1.273, 19 November 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.273.html
"Letter 1.276, 4 December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.276.html
"Letter 1.28, 21 October 1792",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.28.html
"Letter 1.3, [c. 3 April 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.3.html
"Letter 1.30, [16–17 November 1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.30.html
"Letter 1.32, 29 November [1792]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
"Letter 1.33, 4 December 1792",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.33.html
"Letter 1.34, 6 December 1792",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.34.html
"Letter 1.35, 26 December 1792",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.35.html
