"Bedford, Henry"
Mentioned In, URL
Letter 1.114 12 November 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
Letter 1.115 [22 November 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.115.html
Letter 1.119 5 January 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
Letter 1.131 [12 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
Letter 1.133 [c. 22 August 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.133.html
Letter 1.135 [c. 1 October 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
Letter 1.136 1–10 October 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.157 27 May 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.157.html
Letter 1.165 [started before and continued on 17 July 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.165.html
Letter 1.168 31 July [–2 August] 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.168.html
Letter 1.184 1 November [1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.184.html
Letter 1.61 20 October 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.61.html
Letter 1.66 3[–4] November 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.66.html
Letter 1.76 22 [–24] December 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.76.html
Letter 1.81 2 [–5] February 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 1.92 6 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.92.html
Letter 1.94 12 [–?] June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.94.html
Letter 1.95 25 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.95.html
Letter 2.317 21 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.317.html
Letter 2.579 6 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.579.html
Letter 3.1001 [c. 11 December 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1001.html
Letter 3.1186 22 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1186.html
Letter 3.1188 27 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1188.html
Letter 3.1191 18 June 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1191.html
Letter 3.1359 19 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1359.html
Letter 3.1367 3 October 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1367.html
Letter 3.1370 4 October 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1370.html
Letter 3.1463 5 June 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1463.html
Letter 3.1674 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1674.html
Letter 3.1705 30 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1705.html
Letter 3.996 4 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.996.html
Letter 3.997 [started before 7 December–]16 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.997.html
Letter 4.1763 21 March 1810 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1763.html
Letter 4.1768 4 April 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1768.html
Letter 4.1798 3 August 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1798.html
Letter 4.1803 27 August 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1803.html
Letter 4.1839 14 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1839.html
Letter 4.1848 1 January 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1848.html
Letter 4.1865 5 February 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1865.html
