"Bedford, Horace
							Walpole"
Letters To:, URL
"Letter 1.101, [c. 2 September 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.101.html
"Letter 1.114, 12 November 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
"Letter 1.153, 7 May [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.153.html
"Letter 1.160, 12 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.160.html
"Letter 1.171, 29[/30] August [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.171.html
"Letter 1.182, 13 October 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.182.html
"Letter 1.222, 11 June 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.222.html
"Letter 1.54, 25 July [– c. 5 August] 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.54.html
"Letter 1.61, 20 October 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.61.html
"Letter 1.66, 3[–4] November 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.66.html
"Letter 1.71, 11 December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.71.html
"Letter 1.72, 12 [–15] December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.72.html
"Letter 1.76, 22 [–24] December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.76.html
"Letter 1.78, 30 [–31] December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.78.html
"Letter 1.80, 24 January–18 February 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
"Letter 1.84, 4 April 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.84.html
"Letter 1.93, 7 June 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.93.html
"Letter 1.97, 1 August 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.97.html
"Letter 1.99, 22 August–3 September 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.99.html
Mentioned In:, URL
"Letter 1.114, 12 November 1794 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
"Letter 1.119, 5 January 1795 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
"Letter 1.124, 8 [–9] February 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.124.html
"Letter 1.127, [possibly started before and continued on 12 May
1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.127.html
"Letter 1.131, [12 July 1795] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
"Letter 1.133, [c. 22 August 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.133.html
"Letter 1.135, [c. 1 October 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
"Letter 1.136, 1–10 October 1795 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
"Letter 1.137, [started before and continued on] 23 October
[1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.137.html
