"Bell, Andrew"
Letters To:, URL
"Letter 4.1916, 4 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1916.html
"Letter 4.1948, 5 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1948.html
"Letter 4.1961, 6 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1961.html
"Letter 4.1989, 29 November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1989.html
"Letter 4.2005, 27 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2005.html
"Letter 4.2008, 30 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2008.html
"Letter 4.2023, 31 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2023.html
"Letter 4.2060, 13 March 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2060.html
"Letter 4.2063, 23 March 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2063.html
"Letter 4.2462, 27 July 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2462.html
"Letter 4.2653, 6 September 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2653.html
"Letter 5.2861, 12 November 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2861.html
"Letter 5.3083, 27 February 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3083.html
"Letter 6.3285, 23 April 181[9]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3285.html
"Letter 6.3452, 17 March 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3452.html
"Letter 6.3555, 14 November 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3555.html
"Letter 6.3659, 26 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3659.html
"Letter 7.3802, 22 February 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3802.html
"Letter 7.4284, 24 November 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4284.html
Mentioned In:, URL
"Letter 3.1644, 15 June 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1644.html
"Letter 4.1851, 10 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1851.html
"Letter 4.1917, 5 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1917.html
"Letter 4.1921, 12 May 1811 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1921.html
"Letter 4.1926, 21 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1926.html
"Letter 4.1933, 9 June 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1933.html
"Letter 4.1947, 4 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1947.html
"Letter 4.1951, 8 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1951.html
"Letter 4.1955, 13[–14] September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1955.html
"Letter 4.1956, 13 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1956.html
"Letter 4.1963, 10 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1963.html
"Letter 4.1964, 11 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1964.html
"Letter 4.1966, 14 October 1811 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1966.html
"Letter 4.1968, [c. 18] October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1968.html
"Letter 4.1971, 23 October 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1971.html
"Letter 4.1972, 24 October 1811 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1972.html
"Letter 4.1974, 30 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1974.html
"Letter 4.1975, 2 November 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1975.html
"Letter 4.1976, 2 November 1811 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1976.html
"Letter 4.1977, [c. 4 November 1811] (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1977.html
"Letter 4.1978, 4 November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1978.html
"Letter 4.1979, 5 November 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1979.html
"Letter 4.1980, 6 November [1811] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1980.html
"Letter 4.1986, 20 November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1986.html
"Letter 4.1991, c. November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1991.html
"Letter 4.1992, 1 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1992.html
"Letter 4.1993, early December 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1993.html
"Letter 4.1994, 6 December 1811 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1994.html
"Letter 4.1995, 7 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1995.html
"Letter 4.1997, 13 December 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1997.html
"Letter 4.1998, before 14 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1998.html
"Letter 4.2000, mid December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2000.html
"Letter 4.2004, 26 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2004.html
