Betham  Mary Matilda
Mentioned In, URL
Letter 3.1433 [c. 14 March 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1433.html
Letter 3.1462 [May 1808] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1462.html
Letter 3.1479 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1479.html
Letter 3.1490 12 August 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1490.html
Letter 3.1633 22 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1633.html
Letter 3.1649 6 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1649.html
Letter 3.1661 30 July 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1661.html
Letter 3.1668 10 August 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1668.html
Letter 3.1669 12 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1669.html
Letter 3.1670 17 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1670.html
Letter 3.1674 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1674.html
Letter 3.1675 4 September 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1675.html
Letter 3.1678 8 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1678.html
Letter 3.1694 14 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1694.html
Letter 3.1700 24 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1700.html
Letter 3.1707 11 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1707.html
Letter 4.1788 27 June 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1788.html
Letter 4.1814 8 October 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1814.html
Letter 4.2033 9 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2033.html
Letter 4.2155 7 October 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2155.html
Letter 4.2249 mid-late April 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2249.html
Letter 4.2277 30 June 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2277.html
Letter 6.3493 16 June [1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3493.html
Letter 6.3671 16 April [1821],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3671.html
Letter 6.3711.1 12 August [1821],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3711.1.html
Letters To, URL
Letter 3.1434 [16 March 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1434.html
Letter 3.1474 2 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1474.html
Letter 3.1509 19 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1509.html
Letter 3.1567 17 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1567.html
Letter 3.1641 3 June 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1641.html
Letter 3.1690 10 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1690.html
Letter 3.1693 14 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1693.html
Letter 3.1724 27 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1724.html
Letter 4.1811 3 October 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1811.html
Letter 4.1974 30 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1974.html
Letter 4.2083 25 April 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2083.html
Letter 4.2423 15 May 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2423.html
Letter 4.2432 30 May 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2432.html
Letter 4.2525 22 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2525.html
Letter 4.2591 26 April [1815],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2591.html
Letter 4.2629 2 July 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2629.html
Letter 4.2638 23 July 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2638.html
Letter 4.2667 7 November 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2667.html
Letter 5.2741 19 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2741.html
Letter 5.2764 20 April 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2764.html
Letter 5.2814 24 June [1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2814.html
