"Biddlecombe,
						Charles"
Letters To:, URL
"Letter 1.257.1, 17 September [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.1.html
"Letter 1.263, 16 October 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.263.html
"Letter 1.279, 24 December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.279.html
"Letter 2.313, 6 May [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.313.html
"Letter 2.356, 6 November 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.356.html
"Letter 2.396, 6 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.396.html
"Letter 2.413, 25 May [1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.413.html
"Letter 2.501, 24 March 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.501.html
"Letter 2.596, 1 August 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.596.html
"Letter 2.598, 17 August 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
"Letter 2.611, 6 October 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.611.html
"Letter 2.672, 22 April [1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.672.html
"Letter 2.686, [28 June 1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.686.html
"Letter 2.691, 7 July 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.691.html
"Letter 2.702, 3 August 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.702.html
"Letter 2.742, 11 December 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.742.html
"Letter 2.763, 6 March 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.763.html
"Letter 2.807, 18 July 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.807.html
"Letter 3.1297, 25 March 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1297.html
"Letter 3.1344, 10 July 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1344.html
Mentioned In:, URL
"Letter 1.225, [c. 21 June 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.225.html
"Letter 1.229, [c. 30 June 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.229.html
"Letter 1.234, 16 July [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.234.html
"Letter 2.283, 12 January 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.283.html
"Letter 2.284, 15 January 1798 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.284.html
"Letter 2.399, 18 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.399.html
"Letter 2.411, 19 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.411.html
"Letter 2.416, 10 June 1799 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.416.html
"Letter 2.419, 30 June 1799 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.419.html
"Letter 2.421, 12 July 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.421.html
"Letter 2.423, 19–22 July 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
"Letter 2.442, 10 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.442.html
"Letter 2.444, 11 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.444.html
"Letter 2.476, 9 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.476.html
"Letter 2.485, 3 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.485.html
"Letter 2.514, [c. 20 April 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.514.html
"Letter 2.542, 22 August 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.542.html
"Letter 2.545, 1 September 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.545.html
"Letter 2.565, 30 January–9 February 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.565.html
"Letter 2.805, 13 July 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.805.html
"Letter 2.815, 2 August 1803 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.815.html
"Letter 2.853, 18 November 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.853.html
"Letter 2.873, 23 December 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.873.html
"Letter 3.1008, 26 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1008.html
"Letter 3.1049, 22 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1049.html
"Letter 3.1295, [c. 24 March 1807]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1295.html
"Letter 3.1306, 10 April 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1306.html
"Letter 3.1319, 9 May 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1319.html
"Letter 3.1327, 27 May 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1327.html
"Letter 3.1345, [10 July 1807]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1345.html
"Letter 3.1362, 22 September 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1362.html
"Letter 3.1381, 24 November 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1381.html
"Letter 3.1451, 29 April 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1451.html
"Letter 3.1462, [May 1808]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1462.html
"Letter 3.1507, 13 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1507.html
"Letter 3.1563, 10 January 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1563.html
"Letter 3.966, 18 July 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.966.html
"Letter 5.2997, 17[-19] May 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2997.html
