Biggs  Nathaniel
Mentioned In, URL
Letter 1.189 [c. early December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.189.html
Letter 1.191 [c. 8 December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.191.html
Letter 1.217 [c. 18 May 1797] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 1.234 16 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.234.html
Letter 1.262 [c. 16 October 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.262.html
Letter 1.278 14 December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.278.html
Letter 2.285 [19 January 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.285.html
Letter 2.331 8 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.331.html
Letter 2.334 15 July [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.334.html
Letter 2.430 [25] August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.430.html
Letter 2.564 20[-24] January [1801] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.565 30 January–9 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.565.html
Letter 2.659 23 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.659.html
Letter 2.667 30 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.667.html
Letter 2.668 5 April 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
Letter 2.669 12 April 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.669.html
Letter 2.743 19 December 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.743.html
Letter 2.837 8 September [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.837.html
Letter 3.1070 24[–25] May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1070.html
Letter 3.1073 7 June 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1073.html
Letter 3.1086 26 July 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1086.html
Letter 3.1104 5 September 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1104.html
Letter 3.1141 1–5 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1141.html
Letter 3.1185 21 May [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1185.html
Letter 4.1766 [c. 26 March 1810],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1766.html
Letter 4.1842 22 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1842.html
Letter 4.2188 6 December 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2188.html
Letter 6.3395 3 December 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3395.html
Letters To, URL
