Bowles  William Lisle
Mentioned In, URL
Letter 1.114 12 November 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
Letter 1.136 1–10 October 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.195 [26 January 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.195.html
Letter 1.85 5–6 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.85.html
Letter 1.86 13 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.86.html
Letter 1.99 22 August–3 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.99.html
Letter 2.423 19–22 July 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
Letter 2.703 4 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.703.html
Letter 3.1088 26 July [1805] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1088.html
Letter 3.1309 21 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1309.html
Letter 3.993 27 November 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.993.html
Letter 4.1889 24 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
Letter 4.2373 29 January 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2373.html
Letter 4.2467 7 August 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2467.html
Letter 4.2547 1 February 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2547.html
Letter 4.2627 30 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2627.html
Letter 6.3303 27 May 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3303.html
Letter 6.3385 8 November 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3385.html
Letter 6.3552 12 November 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3552.html
Letter 6.3587 21 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3587.html
Letter 6.3674 21 April 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3674.html
Letter 6.3684 9 May 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3684.html
Letter 7.3790 30 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3790.html
Letter 7.3819 8 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3819.html
Letter 7.3866 7 July 1822 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3866.html
Letter 7.4071 21 October 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4071.html
Letter 7.4198 7 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4198.html
Letter 7.4199 15 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4199.html
Letter 7.4286 3 December 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4286.html
Letters To, URL
Letter 4.2558 21 February 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2558.html
Letter 6.3540 16 October 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3540.html
Letter 6.3541 [before 22 October 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3541.html
