Britton  John
Mentioned In, URL
Letter 3.1003 16 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1003.html
Letter 3.1049 22 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1049.html
Letter 3.1061 18 April 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1061.html
Letter 3.1074 [started before and continued on] 11 June 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1074.html
Letter 3.1111 13 October [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1111.html
Letter 3.1128 28 November [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1128.html
Letter 3.1172 5 April 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1172.html
Letters To, URL
Letter 4.1823 4 November 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1823.html
Letter 5.2735 13 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2735.html
