"Brydges, (Samuel) Egerton"
Mentioned In, URL
Letter 3.1617 21 April 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1617.html
Letter 4.2195 2 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2195.html
Letter 4.2201 10 January 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2201.html
Letter 5.3077 [c. 14 February 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3077.html
Letter 5.3220 18 December 1818 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3220.html
Letter 6.3314 11 June 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3314.html
Letters To, URL
Letter 3.1320 10 May [1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1320.html
Letter 5.3029 12 October 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3029.html
