"Bunbury, Charles John"
Mentioned In, URL
Letter 1.102 [between c. 3–9 September 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.102.html
Letter 1.119 5 January 1795 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
Letter 1.151 23–27 April 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.151.html
Letter 1.162 26 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.17 [c. 9 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
Letter 1.26 [c. 6 October 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
Letter 1.28 21 October 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.28.html
Letter 1.47 4–20 April 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.47.html
Letter 1.49 17–29 May 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.49.html
Letter 1.50 [c. 3 June 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.50.html
Letter 2.340 3 August [1798] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.340.html
Letter 2.450 24 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.450.html
Letter 2.705 [13 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.705.html
Letter 2.811 [c. 23 July 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.811.html
Letter 3.1062 27 April [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1062.html
Letter 3.1198 [June 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1198.html
Letter 3.1208 8 August 1806.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1208.html
Letter 3.1220 27 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1220.html
Letter 3.1241 12 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1241.html
Letter 3.1313 [April 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1313.html
Letter 3.918 30 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.918.html
Letter 5.2907 27 January [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2907.html
Letters To, URL
