Burnett  George
Mentioned In, URL
Letter 1.103 7 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.106 12 October [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.106.html
Letter 1.110 19 [October] 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.110.html
Letter 1.112 [25 October 1794] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.112.html
Letter 1.113 6 November [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.113.html
Letter 1.118 31 December 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.118.html
Letter 1.160 12 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.160.html
Letter 1.162 26 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.165 [started before and continued on 17 July 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.165.html
Letter 1.169 28 August 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
Letter 1.201 [c. 17 February 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.201.html
Letter 1.212 26 April 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.254 6 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.254.html
Letter 1.266 21 October 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.266.html
Letter 1.275 3 [– 4] December 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
Letter 1.280 24 December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.280.html
Letter 1.50 [c. 3 June 1793] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.50.html
Letter 1.64 30 October–7 November 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.64.html
Letter 1.75 22 December 1793 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.75.html
Letter 1.77 [c. 26 December 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.77.html
Letter 1.80 24 January–18 February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
Letter 1.81 2 [–5] February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 1.86 13 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.86.html
Letter 1.87 16[–20] April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.87.html
Letter 1.88 26 [–c. 29] April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.88.html
Letter 1.93 7 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.93.html
Letter 1.94 12 [–?] June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.94.html
Letter 1.95 25 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.95.html
Letter 1.98 1–21 August [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.98.html
Letter 1.99 22 August–3 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.99.html
Letter 2.288 18 February 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.288.html
Letter 2.291 7[–8] March 1798 (8 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.293 9 March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.293.html
Letter 2.318 27 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.318.html
Letter 2.319 [27–]28 May 1798 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.319.html
Letter 2.320 29–31 May 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.320.html
Letter 2.323 6 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.333 14 July 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.333.html
Letter 2.347 5 September 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.347.html
Letter 2.350 1 October 1798 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.350.html
Letter 2.357 11 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.357.html
Letter 2.358 3 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.358.html
Letter 2.359 4 December 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.359.html
Letter 2.360 14 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.360.html
Letter 2.362 27 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.362.html
