"Cadell, Thomas"
Mentioned In, URL
Letter 2.549 [October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.549.html
Letter 2.552 [27 October 1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.552.html
Letter 3.1377 13 November 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1377.html
Letter 3.1378 15 November 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1378.html
Letter 3.1379 16 November 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1379.html
Letter 3.1380 16 November 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1380.html
Letter 3.1397 11 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1397.html
Letter 4.2238 31 March 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2238.html
Letter 7.4219 21 July 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4219.html
Letters To, URL
