"Campbell, Henry"
Mentioned In, URL
Letter 1.197 29 January [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.197.html
Letter 1.41 [23 January 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.41.html
Letter 1.43 [started before and continued on] 15 March [1793] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.43.html
Letter 1.67 6–8 November 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.67.html
Letter 1.80 24 January–18 February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
Letter 1.81 2 [–5] February 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 2.588 6 July [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.588.html
Letter 3.1141 1–5 January 1806 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1141.html
Letter 3.1500 [late August/early September 1808] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1500.html
Letter 4.1741 5 February 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1741.html
Letter 7.3810 2 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3810.html
Letters To, URL
