Carlisle  Anthony
Mentioned In, URL
Letter 1.135 [c. 1 October 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
Letter 1.141 [21–] 22 November [1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.141.html
Letter 1.149 24 February – 2 March 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
Letter 1.159 [started before and continued on 12 June 1796] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
Letter 1.162 26 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.165 [started before and continued on 17 July 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.165.html
Letter 1.167 26 July 1796 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.167.html
Letter 1.168 31 July [–2 August] 1796 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.168.html
Letter 1.170 29 August [–7 September] 1796 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.170.html
Letter 1.184 1 November [1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.184.html
Letter 1.187 [started before 11 November 1796; continued 17 November 1796] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.187.html
Letter 1.193 1–7 January 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.193.html
Letter 1.205 6 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.205.html
Letter 1.210 9 April 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
Letter 1.212 26 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.218 25 May 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.218.html
Letter 1.225 [c. 21 June 1797] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.225.html
Letter 1.235 16 [– 17] July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.235.html
Letter 1.252 3 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.252.html
Letter 1.254 6 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.254.html
Letter 1.257 [16 September 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.html
Letter 1.260 1 – 18 October [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.260.html
Letter 1.271 12 November 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.271.html
