Chantrey  Sir Francis Legatt
Mentioned In, URL
Letter 7.3814 19 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3814.html
Letter 7.3820 8 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3820.html
Letter 7.3842 20 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3842.html
Letter 7.3846 27 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3846.html
Letter 7.3969 24 February 1823 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3969.html
Letter 7.4023 25 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4023.html
Letter 7.4030 15 June 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4030.html
Letter 7.4129 8 February [1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4129.html
Letter 7.4199 15 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4199.html
Letters To, URL
Letter 7.3841 20 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3841.html
