"Colburn, Henry"
Mentioned In, URL
Letter 4.2433 5 June 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2433.html
Letter 4.2435 5 June 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2435.html
Letter 7.4190 26 May 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4190.html
Letter 7.4200 15 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4200.html
Letter 7.4203 23 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4203.html
Letter 7.4222 24 July 1824 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4222.html
Letters To, URL
Letter 4.2434 5 June 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2434.html
