"Coleridge, (David)
							Hartley"
Letters To:, URL
"Letter 3.1332, 13 June 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1332.html
Mentioned In:, URL
"Letter 2.405, 9 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.405.html
"Letter 2.408, 13 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
"Letter 2.409, 15 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.409.html
"Letter 2.440, 3 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.440.html
"Letter 2.474, 8 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.474.html
"Letter 2.489, 15 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.489.html
"Letter 2.505, 1 April 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.505.html
"Letter 2.572, 28 March 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.572.html
"Letter 2.590, 11 July 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.590.html
"Letter 2.597, 3 August 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.597.html
"Letter 2.607, [22] September 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.607.html
"Letter 2.703, 4 August 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.703.html
"Letter 2.836, 8 September [1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.836.html
"Letter 2.838, [8 September 1803] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
"Letter 2.840, [18 September 1803] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.840.html
"Letter 2.844, [19 October 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
"Letter 3.1021, 15 January 1805 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1021.html
"Letter 3.1038, [started before and continued on] 18 February
1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1038.html
"Letter 3.1072, 3 June 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1072.html
"Letter 3.1101, 2 September [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1101.html
"Letter 3.1151, 3 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1151.html
"Letter 3.1162, [c. early March 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1162.html
"Letter 3.1212, 17 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1212.html
"Letter 3.1233, 3 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1233.html
