"Coleridge, Derwent"
Letters To:, URL
"Letter 5.3226, [late December 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3226.html
Mentioned In:, URL
"Letter 2.560, 10 December 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
"Letter 2.572, 28 March 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.572.html
"Letter 2.597, 3 August 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.597.html
"Letter 2.607, [22] September 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.607.html
"Letter 2.649, 9 January 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
"Letter 2.836, 8 September [1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.836.html
"Letter 2.838, [8 September 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
"Letter 2.844, [19 October 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
"Letter 2.847, 29 October 1803 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.847.html
"Letter 3.1205, 1 August [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1205.html
"Letter 3.1212, 17 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1212.html
"Letter 3.1233, 3 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1233.html
"Letter 3.1253, 30 December 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1253.html
"Letter 3.1288, 15 March 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1288.html
"Letter 3.1301, [started before and continued on] 30 March
1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1301.html
"Letter 3.1326, 25 May 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1326.html
"Letter 3.1481, 16 July 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1481.html
"Letter 3.1504, 9 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1504.html
"Letter 3.1512, 27 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1512.html
"Letter 3.1513, 27 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1513.html
"Letter 3.1520, 13 October 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1520.html
"Letter 3.1647, [c. 1 July 1809]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1647.html
"Letter 3.905, 1 March 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.905.html
"Letter 3.937, [9 May 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.937.html
"Letter 3.951, 11 June 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
"Letter 3.979, [early–c. 22 October 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.979.html
"Letter 4.1805, 12 September 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1805.html
"Letter 4.1853, 14 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1853.html
"Letter 4.2077, 13 April 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2077.html
"Letter 4.2112, 9 June 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2112.html
"Letter 4.2119, 1 July 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2119.html
"Letter 4.2248, 17 April 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2248.html
"Letter 4.2343, 9 December 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2343.html
"Letter 4.2361, 7 January 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2361.html
"Letter 4.2381, 18 February 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2381.html
"Letter 4.2403, 17 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
"Letter 4.2404, 18 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2404.html
"Letter 4.2430, 29 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2430.html
"Letter 4.2480, 10 September 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2480.html
"Letter 4.2485, 12 October 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2485.html
"Letter 4.2495, 4 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2495.html
"Letter 4.2541, 14 January 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2541.html
"Letter 4.2548, 3 February 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2548.html
"Letter 4.2574, 17 March 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2574.html
