"Coleridge, George"
Letters To:, URL
"Letter 4.2485, 12 October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2485.html
"Letter 4.2501, 14 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2501.html
Mentioned In:, URL
"Letter 1.214, 2 May [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
"Letter 1.216, [c. 8 May 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.216.html
"Letter 1.227, [c. 25 June 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.227.html
"Letter 1.232, 11 July 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.232.html
"Letter 2.362, 27 December 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.362.html
"Letter 2.384, 26 February 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.384.html
"Letter 2.430, [25] August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.430.html
"Letter 2.432, [started before and continued after] 3 September
[1799] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.432.html
"Letter 2.433, [4 September 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.433.html
"Letter 2.434, 6 September 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.434.html
"Letter 3.1253, 30 December 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1253.html
"Letter 3.1647, [c. 1 July 1809]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1647.html
"Letter 3.1702, 26 [October 1809]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1702.html
"Letter 4.1988, 24 November 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1988.html
"Letter 4.1996, 8 December 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1996.html
"Letter 4.2480, 10 September 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2480.html
"Letter 4.2493, 27 October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2493.html
"Letter 4.2498, 9 November 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2498.html
"Letter 5.2693, 7 January 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2693.html
"Letter 5.2813, 22 June [1816]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2813.html
"Letter 7.3963, 10 February 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3963.html
"Letter 7.4216, 18 July 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4216.html
