Coleridge  Samuel Taylor
Mentioned In, URL
Letter 1.100 [c. 2 September 1794] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.100.html
Letter 1.101 [c. 2 September 1794] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.101.html
Letter 1.102 [between c. 3–9 September 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.102.html
Letter 1.103 7 September 1794 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.108 [before 15 October 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.108.html
Letter 1.112 [25 October 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.112.html
Letter 1.114 12 November 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
Letter 1.118 31 December 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.118.html
Letter 1.119 5 January 1795 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
Letter 1.120 5 January 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.120.html
Letter 1.121 [9 January 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.121.html
Letter 1.122 [c. January 1795?],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.122.html
Letter 1.123 [c. 12 January 1795] (8 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.123.html
Letter 1.124 8 [–9] February 1795 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.124.html
Letter 1.125 21 March [1795] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.125.html
Letter 1.127 [possibly started before and continued on 12 May 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.127.html
Letter 1.128 [started before and continued on] 25 May [1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.128.html
Letter 1.133 [c. 22 August 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.133.html
Letter 1.134 [started before and continued on] 1 September [1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.134.html
Letter 1.135 [c. 1 October 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
Letter 1.136 1–10 October 1795 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.148 [February–March 1796?] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.148.html
Letter 1.150 [16 April 1796] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.150.html
