"Coleridge, Sara"
Mentioned In, URL
Letter 2.823 19 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.823.html
Letter 2.825 19 August [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.825.html
Letter 2.835 8 September [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.835.html
Letter 2.836 8 September [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.836.html
Letter 2.837 8 September [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.837.html
Letter 2.838 [8 September 1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 2.844 [19 October 1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
Letter 3.1157 15 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1157.html
Letter 3.1212 17 August 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1212.html
Letter 3.1215 13 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1215.html
Letter 3.1246 21 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1246.html
Letter 3.1253 30 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1253.html
Letter 3.1288 15 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1288.html
Letter 3.1301 [started before and continued on] 30 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1301.html
Letter 3.1326 25 May 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1326.html
Letter 3.1571 27 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1571.html
Letter 3.1612 [early April 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1612.html
Letter 3.1628 13 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1628.html
Letter 3.1678 8 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1678.html
Letter 3.1694 14 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1694.html
Letter 3.1717 [November/December 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1717.html
Letter 3.1724 27 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1724.html
Letter 3.894 8 February 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.894.html
Letter 3.911 12 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.911.html
Letter 3.937 [9 May 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.937.html
Letter 3.951 11 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
Letter 3.979 [early–c. 22 October 1804] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.979.html
Letter 4.1805 12 September 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1805.html
Letter 4.1853 14 January 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1853.html
Letter 4.2174 5 November 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2174.html
Letter 4.2224 24 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2224.html
Letter 4.2232 18 March 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2232.html
Letter 4.2304 20 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2304.html
Letter 4.2381 18 February 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2381.html
Letter 4.2403 17 April 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
Letter 4.2404 18 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2404.html
Letter 4.2425 21 May 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2425.html
Letter 4.2426 23 May 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2426.html
Letter 4.2430 29 May 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2430.html
