Combe  Edward
Mentioned In, URL
Letter 1.15 [c. 18 June 1792] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.15.html
Letter 1.162 26 June 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.17 [c. 9 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
Letter 1.20 [c. 31 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.20.html
Letter 1.266 21 October 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.266.html
Letter 1.27 [c. 6 October 1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.27.html
Letter 1.31 [c. 23 November 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.31.html
Letter 1.32 29 November [1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
Letter 1.34 6 December 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.34.html
Letter 1.36 [c. 27 December 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.36.html
Letter 1.39 12 [–13] January [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.39.html
Letter 1.40 16 [–21] January [1793] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.40.html
Letter 1.41 [23 January 1793] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.41.html
Letter 1.43 [started before and continued on] 15 March [1793] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.43.html
Letter 1.44 25 March 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.44.html
Letter 1.46 3 April [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.46.html
Letter 1.49 17–29 May 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.49.html
Letter 1.51 8–16 June 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.51.html
Letter 1.64 30 October–7 November 1793 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.64.html
Letter 1.68 [12–15] November [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.68.html
Letter 1.73 [started before and continued on] 14 December [1793] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.73.html
Letter 1.77 [c. 26 December 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.77.html
Letter 1.8 [c. 26 April 1792] (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.8.html
Letter 1.81 2 [–5] February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 1.83 23 March [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.83.html
Letter 1.86 13 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.86.html
Letter 2.359 4 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.359.html
Letter 2.473 1 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.473.html
Letter 3.1129 6 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1129.html
Letter 3.1500 [late August/early September 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1500.html
Letter 3.1650 6 July [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1650.html
Letter 6.3683 8 May 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3683.html
Letter 6.3723 1 September 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3723.html
Letter 6.3733 29 September 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3733.html
Letter 7.4120 11 January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4120.html
Letter 7.4121 14[–15] January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4121.html
Letter 7.4122 19 January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4122.html
Letter 7.4126 [23 January 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4126.html
Letters To, URL
