"Cottle, Amos Simon"
Mentioned In, URL
Letter 1.159 [started before and continued on 12 June 1796] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
Letter 1.234 16 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.234.html
Letter 1.235 16 [– 17] July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.235.html
Letter 1.262 [c. 16 October 1797] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.262.html
Letter 1.263 16 October 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.263.html
Letter 1.269 11 November 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.269.html
Letter 1.277 9 December [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.277.html
Letter 2.291 7[–8] March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.318 27 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.318.html
Letter 2.320 29–31 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.320.html
Letter 2.368 4 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.368.html
Letter 2.403 1-3 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.403.html
Letter 2.409 15 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.409.html
Letter 2.410 16 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.410.html
Letter 2.514 [c. 20 April 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.514.html
Letter 2.520 2 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.520.html
Letter 2.525 9 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.525.html
Letter 2.552 [27 October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.552.html
Letter 2.554 [c. 29–31] October 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.554.html
Letter 2.556.1 2 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.556.1.html
Letter 2.557 6 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
Letter 2.564 20[-24] January [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.565 30 January–9 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.565.html
Letter 2.586 [c. 29 June-] 12 July 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.586.html
Letter 2.598 17 August 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
Letter 3.1183 21 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1183.html
Letter 3.1210 11 August 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1210.html
Letter 3.1231 2 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1231.html
Letter 3.1236 [7 November 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1236.html
Letter 3.1241 12 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1241.html
Letter 3.1255 2 January 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1255.html
Letter 3.1333 [started before and continued on] 18 June 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1333.html
Letter 3.949 7 June 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.949.html
Letter 7.3816 25 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3816.html
Letters To, URL
Letter 1.202 28 February 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.202.html
