"Cottle, Joseph"
Letters To:, URL
"Letter 1.140, [17 November 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.140.html
"Letter 1.143, [late November 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.143.html
"Letter 1.144, [possibly begun before 15 December 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.144.html
"Letter 1.148, [February–March 1796?]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.148.html
"Letter 1.150, [16 April 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.150.html
"Letter 1.189, [c. early December 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.189.html
"Letter 1.191, [c. 8 December 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.191.html
"Letter 1.201, [c. 17 February 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.201.html
"Letter 1.203, 6 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.203.html
"Letter 1.204, 13 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
"Letter 1.209, [5 April 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.209.html
"Letter 1.210, 9 April 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
"Letter 1.212, 26 April 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
"Letter 1.214, 2 May [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
"Letter 1.215, [before 6 May – 6 May 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.215.html
"Letter 1.216, [c. 8 May 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.216.html
"Letter 1.217, [c. 18 May 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
"Letter 1.219, 26–[28] May [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.219.html
"Letter 1.223, [14 June 1797?]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.223.html
"Letter 1.224, [18 June 1797?]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.224.html
"Letter 1.226, 22 June 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.226.html
"Letter 1.227, [c. 25 June 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.227.html
"Letter 1.240, 28 July [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.240.html
"Letter 1.262, [c. 16 October 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.262.html
"Letter 1.264, [c. 20 October 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.264.html
"Letter 1.274, 19 November 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.274.html
"Letter 1.277, 9 December [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.277.html
"Letter 1.278, 14 December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.278.html
"Letter 2.285, [19 January 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.285.html
"Letter 2.315, [c. 11 May 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.315.html
"Letter 2.344, [late August 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.344.html
"Letter 2.407, 13 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.407.html
"Letter 2.430, [25] August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.430.html
"Letter 2.437, 22 September 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.437.html
"Letter 2.445, 12 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.445.html
"Letter 2.507, [c. 6 April 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.507.html
"Letter 2.514, [c. 20 April 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.514.html
"Letter 2.525, 9 May 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.525.html
"Letter 2.537, [8] July 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.537.html
"Letter 2.684, 24 June 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.684.html
"Letter 2.701, August 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.701.html
"Letter 2.708.1, [c. 21 August 1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.1.html
"Letter 2.722, [c. 30] September 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.722.html
"Letter 2.725, 6 October 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.725.html
"Letter 2.743, 19 December 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.743.html
"Letter 3.1003, 16 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1003.html
"Letter 3.1097, 25 August 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1097.html
"Letter 3.1210, 11 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1210.html
"Letter 3.1232, 2 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1232.html
"Letter 3.1333, [started before, and continued on] 18 June 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1333.html
"Letter 3.1445, 20 [–21] April 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1445.html
"Letter 3.903, [c. 1 March 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.903.html
"Letter 3.961, 5 July 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.961.html
"Letter 4.1742, 9 February 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1742.html
"Letter 4.1760, 16 March 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1760.html
"Letter 4.2354, 23 December 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2354.html
"Letter 4.2403, 17 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
"Letter 4.2404, 18 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2404.html
"Letter 4.2410, after 27 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2410.html
"Letter 4.2420, 13 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2420.html
"Letter 4.2493, 27 October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2493.html
"Letter 4.2562, 2 March 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2562.html
"Letter 5.2796, 23 May 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2796.html
"Letter 5.2954, [c. 24 March 1817]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2954.html
"Letter 5.3020, 2 September 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3020.html
"Letter 6.3239, 2 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3239.html
"Letter 6.3394, 26 November 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3394.html
"Letter 7.4034, 25 June 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4034.html
Mentioned In:, URL
"Letter 1.125, 21 March [1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.125.html
"Letter 1.130, [1 July 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.130.html
"Letter 1.132, [12 July 1795] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.132.html
"Letter 1.134, [started before and continued on] 1 September
[1795] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.134.html
"Letter 1.136, 1–10 October 1795 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
"Letter 1.137, [started before and continued on] 23 October
[1795] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.137.html
"Letter 1.139, 17 November 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.139.html
"Letter 1.142, 29 [–30] November 1795",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.142.html
"Letter 1.144, [possibly begun before 15 December 1795]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.144.html
"Letter 1.148, [February–March 1796?]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.148.html
"Letter 1.149, 24 February – 2 March 1796 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
"Letter 1.153, 7 May [1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.153.html
"Letter 1.154, 15 May 1796 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.154.html
"Letter 1.156, 24 May 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.156.html
"Letter 1.158, 1 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.158.html
"Letter 1.160, 12 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.160.html
"Letter 1.166, 25 July 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.166.html
"Letter 1.169, 28 August 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
"Letter 1.178, 25 September [–14 October] 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.178.html
"Letter 1.193, 1–7 January 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.193.html
"Letter 1.201, [c. 17 February 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.201.html
"Letter 1.203, 6 March 1797 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.203.html
"Letter 1.204, 13 March 1797 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
"Letter 1.206, 16 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.206.html
"Letter 1.212, 26 April 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
"Letter 1.218, 25 May 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.218.html
"Letter 1.231, 9 July 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.231.html
"Letter 1.232, 11 July 1797 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.232.html
"Letter 1.233, 11 July [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.233.html
"Letter 1.234, 16 July [1797] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.234.html
"Letter 1.235, 16 [– 17] July 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.235.html
"Letter 1.236, 19 July 1797 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.236.html
"Letter 1.253, 5 September 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.253.html
"Letter 1.260, 1 – 18 October [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.260.html
"Letter 1.266, 21 October 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.266.html
"Letter 1.275, 3 [– 4] December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
"Letter 1.280, 24 December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.280.html
"Letter 2.283, 12 January 1798 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.283.html
"Letter 2.284, 15 January 1798 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.284.html
"Letter 2.292, 8 March 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.292.html
"Letter 2.296, 15 March [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.296.html
"Letter 2.314, 11 May 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.314.html
"Letter 2.327, 14 June [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.327.html
"Letter 2.331, 8 July 1798 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.331.html
"Letter 2.333, 14 July 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.333.html
"Letter 2.334, 15 July [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.334.html
"Letter 2.348, 18 September [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.348.html
"Letter 2.355, [30 October 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.355.html
"Letter 2.361, 17 December 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.361.html
"Letter 2.368, 4 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.368.html
"Letter 2.373, 21 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.373.html
"Letter 2.374, 22 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.374.html
"Letter 2.398, 15 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.398.html
"Letter 2.403, 1-3 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.403.html
"Letter 2.405, 9 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.405.html
"Letter 2.409, 15 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.409.html
"Letter 2.423, 19–22 July 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
"Letter 2.425, 2–3 August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.425.html
"Letter 2.426, 3 August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.426.html
"Letter 2.428, 20 August 1799 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.428.html
"Letter 2.429, 21 August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.429.html
"Letter 2.431, [started before and continued on] 1 September
[1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.431.html
"Letter 2.433, [4 September 1799] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.433.html
"Letter 2.439, October [1799] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.439.html
"Letter 2.462, 15 December 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.462.html
"Letter 2.463, [c. 16 December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.463.html
"Letter 2.466, [c. 23 December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
"Letter 2.477, 16 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
"Letter 2.481, [started before and continued on] 27 January
1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.481.html
"Letter 2.495, [12 March 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.495.html
"Letter 2.500, 23 March 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.500.html
"Letter 2.502, [started ‘some weeks’ before and continued on] 26 March
[1800] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.502.html
"Letter 2.518, 2 May 1800 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.518.html
"Letter 2.528, 30 May–6 June 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.528.html
"Letter 2.531, [15 June 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.531.html
"Letter 2.539, 25 July 1800 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.539.html
"Letter 2.541, 21 August 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.541.html
"Letter 2.542, 22 August 1800 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.542.html
"Letter 2.546, 13 September 1800 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
"Letter 2.552, [27 October 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.552.html
"Letter 2.557, 6 November 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
"Letter 2.558, 26 November 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.558.html
"Letter 2.564, 20[-24] January [1801] (5 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
"Letter 2.565, 30 January–9 February 1801 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.565.html
"Letter 2.568, 17 February 1801 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.568.html
"Letter 2.580, 6 May 1801 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.580.html
"Letter 2.585, [mid-June-]21 October 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.585.html
"Letter 2.592, 25 July [1801]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.592.html
"Letter 2.598, 17 August 1801 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
"Letter 2.627, 19 November 1801",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.627.html
"Letter 2.651, [c. 17 January 1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.651.html
"Letter 2.652, 26 January 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
"Letter 2.657, [started before and continued on] 17 February
[1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.657.html
"Letter 2.659, 23 February [1802] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.659.html
"Letter 2.663a, 16 March 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.663a.html
"Letter 2.663b, 16 March 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.663b.html
"Letter 2.664, 23 March 1802 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.664.html
"Letter 2.669, 12 April 1802 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.669.html
"Letter 2.677, 17 May [1802] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.677.html
"Letter 2.693, 12 July 1802 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.693.html
"Letter 2.788, 30 May 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.788.html
"Letter 3.1048, 13 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1048.html
"Letter 3.1068, 19 May 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1068.html
"Letter 3.1166, 17 March 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1166.html
"Letter 3.1183, 21 May 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1183.html
"Letter 3.1217, 19 September 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1217.html
"Letter 3.1231, 2 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1231.html
"Letter 3.1234, 4 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1234.html
"Letter 3.1246, 21 December 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1246.html
"Letter 3.1273, 4 February 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1273.html
"Letter 3.1296, 25 March 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1296.html
"Letter 3.1394, 10 December 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1394.html
"Letter 3.1408, [January 1808]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1408.html
"Letter 3.1413, 9 January 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1413.html
"Letter 3.1419, 23 [January] 1808 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1419.html
"Letter 3.1545, 28 November 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1545.html
"Letter 3.885, [c. 15 January 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.885.html
"Letter 3.905, 1 March 1804 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.905.html
"Letter 3.908, [5–]6 March 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.908.html
"Letter 3.912, 12 March 1804 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.912.html
"Letter 3.928, 28 April [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.928.html
"Letter 3.959, 2 July 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.959.html
"Letter 3.968, 22 July [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.968.html
"Letter 3.981, [started before and continued on] 11 October
[1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.981.html
"Letter 4.1731, 9 January 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1731.html
"Letter 4.1766, [c. 26 March 1810]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1766.html
"Letter 4.1842, 22 December 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1842.html
"Letter 4.1851, 10 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1851.html
"Letter 4.2403, 17 April 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
"Letter 4.2410, after 27 April 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2410.html
"Letter 4.2422, 14 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2422.html
"Letter 4.2498, 9 November 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2498.html
"Letter 4.2541, 14 January 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2541.html
"Letter 4.2543, 15 January 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2543.html
"Letter 4.2582, 29 March 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2582.html
"Letter 4.2592, 1[–2] May 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2592.html
"Letter 5.2803, 4 June 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2803.html
"Letter 5.2956, 25 March 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2956.html
"Letter 6.3299, [c. 21 May] 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3299.html
"Letter 6.3395, 3 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3395.html
