Courtenay  Thomas Peregrine
Mentioned In, URL
Letter 4.2110 8 June 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2110.html
Letter 4.2299 5[–7] September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2299.html
Letter 4.2301 16 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2301.html
Letter 4.2401 13 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2401.html
Letter 4.2408 26 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2408.html
Letter 4.2441 15 June [1814],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2441.html
Letter 4.2600 20 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2600.html
Letter 4.2641 1 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2641.html
Letter 5.2813 22 June [1816] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2813.html
Letter 5.3065 10 January 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3065.html
Letter 5.3077 [c. 14 February 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3077.html
Letter 5.3080 21 February 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3080.html
Letter 5.3114 8 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3114.html
Letter 5.3120 13 April 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3120.html
Letter 6.3424 21 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3424.html
Letter 6.3481 12 [May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 6.3486 25 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
Letter 6.3635 16 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3635.html
Letter 7.3815 23 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3815.html
Letter 7.3857 21 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3857.html
Letter 7.3868 12 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3868.html
Letter 7.3876 27 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3876.html
Letter 7.3877 27 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3877.html
Letter 7.3959 27 January 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3959.html
Letters To, URL
Letter 5.2982 [30 April 1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2982.html
Letter 5.3029 12 October 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3029.html
