"Coxe, William"
Letters To:, URL
"Letter 5.3126, 25 April 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3126.html
Mentioned In:, URL
"Letter 2.761, 20 February 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.761.html
"Letter 2.834, [early September 1803]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.834.html
"Letter 4.2250, 23 April 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2250.html
"Letter 4.2251, 24 April 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2251.html
"Letter 4.2261, 21 May 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2261.html
"Letter 4.2293, 29 August [1813]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2293.html
"Letter 4.2336, 27 November 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2336.html
"Letter 4.2381, 18 February 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2381.html
"Letter 5.3127, 25 April 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3127.html
"Letter 5.3135, 15 May 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3135.html
"Letter 5.3142, 30 May 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3142.html
"Letter 5.3170, 21 July 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3170.html
"Letter 5.3179, [c. 6 August 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3179.html
"Letter 5.3194, 16 September 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3194.html
"Letter 5.3217, 6 December 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3217.html
"Letter 6.3229, [1 January 1819]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3229.html
"Letter 6.3231, 6 January 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3231.html
"Letter 6.3384, 7 November 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3384.html
"Letter 6.3401, 11 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3401.html
"Letter 6.3417, 14 January 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3417.html
"Letter 6.3442, 19 February 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3442.html
