"Croft, Herbert"
Mentioned In, URL
Letter 1.212 26 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.214 2 May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
Letter 1.216 [c. 8 May 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.216.html
Letter 1.223 [14 June 1797?],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.223.html
Letter 1.232 11 July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.232.html
Letter 1.233 11 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.233.html
Letter 1.240 28 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.240.html
Letter 2.382 24 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.382.html
Letter 2.439 October [1799] (14 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.439.html
Letter 2.455 [18 November 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.455.html
Letter 2.495 [12 March 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.495.html
Letter 2.497 20 March [1800] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.497.html
Letter 2.502 [started ‘some weeks’ before and continued on] 26 March [1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.502.html
Letter 2.514 [c. 20 April 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.514.html
Letter 2.530 [8–15 June 1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.530.html
Letter 2.538 23 July[–before 23 August] 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.538.html
Letter 2.539 25 July 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.539.html
Letter 2.569 21 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.569.html
Letter 2.578 30 April 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.578.html
Letter 2.621 29 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.621.html
Letter 2.622 29 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.622.html
Letter 2.625 11 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.625.html
Letter 2.668 5 April 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
Letter 2.725 6 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.725.html
Letter 2.735 23 November 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.735.html
Letter 3.1232 2 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1232.html
Letters To, URL
