"Croker, John
						Wilson"
Letters To:, URL
"Letter 4.1941, 27 July 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1941.html
"Letter 4.2067, 27 March 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2067.html
"Letter 4.2113, 10 June 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2113.html
"Letter 4.2122, 8 July 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2122.html
"Letter 4.2183, 25 November 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2183.html
"Letter 4.2298, 4 September 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2298.html
"Letter 4.2315, 21 October [1813]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2315.html
"Letter 4.2349, 15 December 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2349.html
"Letter 4.2440, 14 June 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2440.html
"Letter 4.2481, 14 September 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2481.html
"Letter 4.2512, 6 December 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2512.html
"Letter 5.3060, [late December 1817]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3060.html
"Letter 5.3134, 11 May 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3134.html
"Letter 5.3164, [before 11 July 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3164.html
"Letter 5.3180, 10 August 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3180.html
"Letter 6.3387, 12 November 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3387.html
"Letter 6.3402, 15 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3402.html
"Letter 6.3415, 9 January 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3415.html
"Letter 7.4297, 18 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4297.html
Mentioned In:, URL
"Letter 4.1798, 3 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1798.html
"Letter 4.1805, 12 September 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1805.html
"Letter 4.1849, 4 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1849.html
"Letter 4.1850, 5 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1850.html
"Letter 4.1852, 11 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1852.html
"Letter 4.1853, 14 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1853.html
"Letter 4.1859, 29 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1859.html
"Letter 4.1860, 30 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1860.html
"Letter 4.1861, 31 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1861.html
"Letter 4.1864, 3 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1864.html
"Letter 4.1867, 7 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1867.html
"Letter 4.1871, 16 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1871.html
"Letter 4.1872, [20 February 1811]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1872.html
"Letter 4.1874, 23 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1874.html
"Letter 4.1875, 27 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1875.html
"Letter 4.1876, 27 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1876.html
"Letter 4.1878, 3 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1878.html
"Letter 4.1879, 4 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1879.html
"Letter 4.1882, 11 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1882.html
"Letter 4.1884, 12 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1884.html
"Letter 4.1887, 22 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1887.html
"Letter 4.1894, 31 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1894.html
"Letter 4.1895, 2 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1895.html
"Letter 4.1897, 6 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1897.html
"Letter 4.1898, 8 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1898.html
"Letter 4.1899, 8 April 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1899.html
"Letter 4.1905, 20 April 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1905.html
"Letter 4.1914, 1 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1914.html
"Letter 4.1915, 3 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1915.html
"Letter 4.1921, 12 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1921.html
