Crothers  
Mentioned In, URL
Letter 4.2492 22[–23] October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2492.html
Letter 4.2641 1 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2641.html
Letter 4.2657 1 October 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
Letter 5.3032 29 October 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3032.html
Letter 5.3072 [29 January 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3072.html
Letter 6.3470 25–29 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3470.html
Letter 6.3482 13 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3482.html
Letter 6.3593 28 December 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3593.html
Letters To, URL
