D’Israeli  Isaac
Mentioned In, URL
Letter 2.431 [started before and continued on] 1 September [1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.431.html
Letter 2.655 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.655.html
Letter 3.1417 [15 January 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1417.html
Letter 4.1854 15 January [1811],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1854.html
Letter 4.2097 19 May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2097.html
Letter 4.2135 14 August 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2135.html
Letter 4.2162 25 October 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2162.html
Letter 4.2210 22 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2210.html
Letter 4.2211 25 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2211.html
Letter 4.2232 18 March 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2232.html
Letter 4.2250 23 April 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2250.html
Letter 4.2678 8 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2678.html
Letter 6.3481 12 [May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 6.3552 12 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3552.html
Letter 6.3674 21 April 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3674.html
Letter 6.3693 11 June 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3693.html
Letter 6.3745 6 November 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3745.html
Letter 7.3863 29 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3863.html
Letter 7.3934 15 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3934.html
Letter 7.3938 20 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3938.html
Letters To, URL
Letter 6.3475 [3 May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3475.html
Letter 7.3862 29 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3862.html
