"Danvers (neé King), Mary"
Mentioned In, URL
Letter 2.419 30 June 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.419.html
Letter 2.458 29 November[–1 December] 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.458.html
Letter 2.558 26 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.558.html
Letter 2.560 10 December 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.564 20[-24] January [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.568 17 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.568.html
Letter 2.573 28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.573.html
Letter 2.580 6 May 1801 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.580.html
Letter 2.581 13 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.581.html
Letter 2.587 6 July [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.587.html
Letter 2.596 1 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.596.html
Letter 2.614 15 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.614.html
Letter 2.627 19 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.627.html
Letter 2.634 2-3 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.634.html
Letter 2.636 [c. 4 December 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.636.html
Letter 2.642 21 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.644 27 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.644.html
Letter 2.646 6 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.646.html
Letter 2.649 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
Letter 2.652 26 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
Letter 2.653 [28 January 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.653.html
Letter 2.654 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.654.html
Letter 2.659 23 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.659.html
Letter 2.667 30 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.667.html
Letter 2.668 5 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
Letter 2.669 12 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.669.html
Letter 2.670a 15-16 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.670a.html
Letter 2.670b 15-16 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.670b.html
Letter 2.671 18 April [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.671.html
Letter 2.677 17 May [1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.677.html
Letter 2.679 24 May [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.679.html
Letter 2.680 [started before and continued on] 28 May 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.680.html
Letter 2.681 2 June 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.681.html
Letter 2.692 9 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.692.html
Letter 2.696 24 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.696.html
Letter 2.708 [started before and continued on] 19 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.html
Letter 2.719 [19] September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.719.html
Letter 2.720 [21-]23 September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.720.html
Letter 2.727 14 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.727.html
Letter 2.750 12 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.750.html
