"Dauncey, Louisa"
Letters To:, URL
"Letter 6.3320, 18 June 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3320.html
Mentioned In:, URL
"Letter 5.3199, 2 October 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3199.html
"Letter 5.3204, 4 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3204.html
"Letter 6.3321, 19 June 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3321.html
"Letter 6.3486, 25 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
"Letter 6.3542, 23 October 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3542.html
"Letter 7.3953, 19 January 1823–31 July 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3953.html
"Letter 7.4097, 30 November 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4097.html
"Letter 7.4099, [3 December 1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4099.html
