"Davy, Humphry"
Letters To:, URL
"Letter 2.426, 3 August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.426.html
"Letter 2.433, [4 September 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.433.html
"Letter 2.447, 18 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.447.html
"Letter 2.454, 12 November 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.454.html
"Letter 2.456, 22 November 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.456.html
"Letter 2.540, 26 July 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.540.html
"Letter 2.618, [c. 16 October 1801]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.618.html
Mentioned In:, URL
"Letter 2.382, 24 February 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.382.html
"Letter 2.387, 12 March 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.387.html
"Letter 2.393, 30 March 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.393.html
"Letter 2.398, 15 April 1799 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.398.html
"Letter 2.399, 18 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.399.html
"Letter 2.415, 5 June 1799 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.415.html
"Letter 2.416, 10 June 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.416.html
"Letter 2.421, 12 July 1799 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.421.html
"Letter 2.426, 3 August 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.426.html
"Letter 2.431, [started before and continued on] 1 September
[1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.431.html
"Letter 2.437, 22 September 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.437.html
