"Deacon Family"
Mentioned In, URL
Letter 1.119 5 January 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
Letter 1.131 [12 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
Letter 1.60 14 [–18] October 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.60.html
Letter 1.63 29 [–30] October 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.63.html
Letter 1.67 6–8 November 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.67.html
Letter 1.70 22 November–2 December 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.70.html
Letter 1.79 [c. early 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.79.html
Letter 1.80 24 January–18 February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
Letter 1.84 4 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.84.html
Letter 1.88 26 [–c. 29] April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.88.html
Letter 1.92 6 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.92.html
Letters To, URL
