Dodd  James William
Mentioned In, URL
Letter 1.10 [c. 14 May 1792] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.10.html
Letter 1.149 24 February – 2 March 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
Letter 1.17 [c. 9 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
Letter 1.23 [c. September 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.23.html
Letter 1.26 [c. 6 October 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
Letter 1.37 30 December 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.37.html
Letter 1.39 12 [–13] January [1793] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.39.html
Letter 1.43 [started before and continued on] 15 March [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.43.html
Letter 1.6 [c. 16 April 1792] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.6.html
Letter 1.8 [c. 26 April 1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.8.html
Letter 7.4240 29 August–17 October 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4240.html
Letters To, URL
