"Douce, Francis"
Mentioned In, URL
Letter 3.1484 [July 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1484.html
Letter 4.1968 [c. 18] October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1968.html
Letter 4.1991 c. November 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1991.html
Letter 4.2020 21 January 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2020.html
Letter 4.2036 12 February [1812],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2036.html
Letter 4.2064 23 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2064.html
Letter 5.2880 14 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2880.html
Letters To, URL
Letter 5.2903 21 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2903.html
