"D’Oyley, Thomas"
Mentioned In, URL
Letter 1.22 [c. summer/ autumn 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.22.html
Letter 1.26 [c. 6 October 1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
Letter 1.33 4 December 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.33.html
Letter 1.93 7 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.93.html
Letter 6.3414 7 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3414.html
Letter 6.3723 1 September 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3723.html
Letters To, URL
