"Duppa, Richard"
Mentioned In, URL
Letter 1.108 [before 15 October 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.108.html
Letter 1.131 [12 July 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
Letter 1.132 [12 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.132.html
Letter 1.159 [started before and continued on 12 June 1796] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
Letter 1.170 29 August [–7 September] 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.170.html
Letter 1.73 [started before and continued on] 14 December [1793] (7 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.73.html
Letter 1.80 24 January–18 February 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
Letter 1.97 1 August 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.97.html
Letter 1.98 1–21 August [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.98.html
Letter 2.373 21 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.373.html
Letter 2.425 2–3 August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.425.html
Letter 2.468 25 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.468.html
Letter 2.473 1 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.473.html
Letter 2.474 8 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.474.html
Letter 2.475 8 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.475.html
Letter 2.480 24 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.480.html
Letter 2.491 20 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.491.html
Letter 2.663a 16 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.663a.html
Letter 2.663b 16 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.663b.html
Letter 2.708 [started before and continued on] 19 August 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.html
Letter 2.708.1 [c. 21 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.1.html
Letter 2.709 24 August [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.709.html
Letter 2.710 [31 August-]1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.710.html
Letter 2.737 [started before and continued on] 28 November 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.737.html
Letter 2.770 3 April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.770.html
Letter 2.805 13 July 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.805.html
Letter 2.815 2 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.815.html
Letter 2.822 19 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.822.html
Letter 3.1002 14 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1002.html
Letter 3.1010 30 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1010.html
Letter 3.1012 6 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1012.html
Letter 3.1022 20 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1022.html
Letter 3.1032 5 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1032.html
Letter 3.1033 [9 February 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1033.html
Letter 3.1034 [10 February 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1034.html
Letter 3.1049 22 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1049.html
Letter 3.1053 4 April 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1053.html
Letter 3.1072 3 June 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1072.html
Letter 3.1113 20 October 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1113.html
