Edmondson  John
Mentioned In, URL
Letter 2.844 [19 October 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
Letter 2.849 7 November 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.849.html
Letter 3.1038 [started before and continued on] 18 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1038.html
Letter 3.1166 17 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1166.html
Letter 3.1301 [started before and continued on] 30 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1301.html
Letter 3.1619 27 April [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1619.html
Letter 3.1633 22 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1633.html
Letter 3.1720 6 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1720.html
Letter 3.948 6 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.948.html
Letter 4.1786 19 June 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1786.html
Letter 4.1791 8 July 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1791.html
Letter 4.1830 28 November 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1830.html
Letter 4.1878 3 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1878.html
Letter 4.1904 15 April 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1904.html
Letter 4.1915 3 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1915.html
Letter 4.2016 13 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2016.html
Letter 4.2152 29 September 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2152.html
Letter 4.2218 3 February 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2218.html
Letter 4.2223 22 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2223.html
