"Elliott, Ebenezer"
Letters To:, URL
"Letter 3.1519, 13 October 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1519.html
"Letter 3.1573, 3 February 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1573.html
"Letter 3.1711, 22 November 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1711.html
"Letter 3.1725, 29 December 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1725.html
"Letter 4.1743, 9 February 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1743.html
"Letter 4.1783, 5 June 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1783.html
"Letter 4.1796, 1 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1796.html
"Letter 4.1813, 7 October 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1813.html
"Letter 4.1866, 7 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1866.html
"Letter 6.3238, 30 January 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3238.html
"Letter 6.3658, 25 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3658.html
"Letter 6.3697, 29 June 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3697.html
"Letter 7.4014, 9 May 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4014.html
"Letter 7.4085, 9 November 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4085.html
"Letter 7.4131, 9 February 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4131.html
"Letter 7.4149, 3 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4149.html
Mentioned In:, URL
"Letter 6.3262, 11 March 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3262.html
"Letter 6.3335, 22 July 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3335.html
"Letter 7.4097, 30 November 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4097.html
"Letter 7.4138, 19 February 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4138.html
"Letter 7.4182, 3 May 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4182.html
"Letter 7.4220, 21 July 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4220.html
