Ellis  George
Mentioned In, URL
Letter 2.601 19 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.601.html
Letter 2.766 14 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.766.html
Letter 2.780 5 May [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.780.html
Letter 2.808 18 July [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.808.html
Letter 2.816 3 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.816.html
Letter 3.1024 23 January [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1024.html
Letter 3.1066 12 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1066.html
Letter 3.1070 24[–25] May 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1070.html
Letter 3.1089 28 July [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1089.html
Letter 3.1102 2 September 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1102.html
Letter 3.1132 10 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1132.html
Letter 3.1147 15 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1147.html
Letter 3.1189 27 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1189.html
Letter 3.1192 22 June 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1192.html
Letter 3.1234 4 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1234.html
Letter 3.1307 13 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1307.html
Letter 3.1341 [July 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1341.html
Letter 3.1389 5 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1389.html
Letter 3.1540 22 November 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1540.html
Letter 3.1582 18 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1582.html
Letter 3.1597 11 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1597.html
Letter 3.1599 14 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1599.html
Letter 3.1604 25 March 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1604.html
Letter 3.1625 7 May 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1625.html
Letter 3.1631 19 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1631.html
Letter 3.1634 23 May 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1634.html
Letter 3.1635 24 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1635.html
