"Elmsley, Peter"
Mentioned In, URL
Letter 1.167 26 July 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.167.html
Letter 1.169 28 August 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
Letter 1.41 [23 January 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.41.html
Letter 1.77 [c. 26 December 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.77.html
Letter 1.80 24 January–18 February 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
Letter 1.81 2 [–5] February 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 2.506 2 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.506.html
Letter 2.538 23 July[–before 23 August] 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.538.html
Letter 2.569 21 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.569.html
Letter 2.610 3 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.610.html
Letter 2.616 16 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.616.html
Letter 2.637 9 December [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.637.html
Letter 2.650 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.650.html
Letter 2.652 26 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
Letter 2.671 18 April [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.671.html
Letter 2.683 [c. 21 June 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.683.html
Letter 2.688 28 June [1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.688.html
Letter 2.695 13 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.695.html
Letter 2.697 25 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.697.html
Letter 2.700 30 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.700.html
Letter 2.718 14 September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.718.html
Letter 2.740 5 December 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.740.html
Letter 2.771 [8 April 1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.771.html
Letter 2.792 [5 June 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.792.html
Letter 2.808 18 July [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.808.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 2.856 24 November [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.856.html
Letter 3.1006 18 December 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1006.html
Letter 3.1031 5 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1031.html
Letter 3.1051 29 March 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1051.html
Letter 3.1055 6 April 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1055.html
Letter 3.1075 [started before and continued on 22 June 1805] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1075.html
Letter 3.1083 12 July 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1083.html
Letter 3.1089 28 July [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1089.html
Letter 3.1092 10 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1092.html
Letter 3.1096 24 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1096.html
Letter 3.1098 26 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1098.html
Letter 3.1101 2 September [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1101.html
Letter 3.1107 [September 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1107.html
