"Estlin, John Prior"
Mentioned In, URL
Letter 1.210 9 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
Letter 1.211 9 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.211.html
Letter 1.214 2 May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
Letter 1.217 [c. 18 May 1797] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 1.240 28 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.240.html
Letter 1.250 24 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.250.html
Letter 1.267 2 November 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.267.html
Letter 2.291 7[–8] March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.350 1 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.350.html
Letter 2.481 [started before and continued on] 27 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.481.html
Letter 2.627 19 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.627.html
Letter 2.652 26 January 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
Letter 2.654 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.654.html
Letter 2.664 23 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.664.html
Letter 2.693 12 July 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.693.html
Letter 2.724 5 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.724.html
Letter 2.725 6 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.725.html
Letter 3.1061 18 April 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1061.html
Letter 3.1179 13 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1179.html
Letter 3.1339 [end of June 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1339.html
Letter 3.959 2 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.959.html
Letter 4.1972 24 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1972.html
Letter 4.2016 13 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2016.html
Letter 4.2093 9 May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2093.html
Letter 4.2574 17 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2574.html
Letter 6.3724 2 September–13 November 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3724.html
Letters To, URL
Letter 1.211 9 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.211.html
Letter 4.2574 17 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2574.html
