"Feldborg, Andreas
						Andersen"
Letters To:, URL
"Letter 7.3858, 26 June 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3858.html
Mentioned In:, URL
"Letter 4.2192, 24 December 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2192.html
"Letter 4.2193, 30 December 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2193.html
"Letter 4.2489, 19 October 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2489.html
"Letter 4.2490, 19 October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2490.html
"Letter 4.2491, 21 October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2491.html
"Letter 4.2492, 22[–23] October 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2492.html
"Letter 6.3735, 15 October 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3735.html
"Letter 6.3737, 19 October 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3737.html
"Letter 6.3738, 19 October 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3738.html
"Letter 7.3860, [27 June 1822]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3860.html
"Letter 7.3883, 14 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3883.html
"Letter 7.3884, 17 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3884.html
"Letter 7.3888, 28 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3888.html
"Letter 7.3889, 30 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3889.html
"Letter 7.3904, 11 October 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3904.html
"Letter 7.3905, 11 October 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3905.html
"Letter 7.4266, 20 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4266.html
