Fox  Charles James
Mentioned In, URL
Letter 3.1016 10 January [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1016.html
Letter 3.1039 19 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1039.html
Letter 3.1043 4 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1043.html
Letter 3.1069 22 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1069.html
Letter 3.1075 [started before and continued on 22 June 1805] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1075.html
Letter 3.1078 [c. 5 July 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1078.html
Letter 3.1139 [31 December 1805 –] 2–3 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1139.html
Letter 3.1150 31 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1150.html
Letter 3.1151 3 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1151.html
Letter 3.1155 11 February 1806 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1155.html
Letter 3.1157 15 February 1806 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1157.html
Letter 3.1158 [22 February 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1158.html
Letter 3.1163 5 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1163.html
Letter 3.1216 [started before and continued on] 17 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1216.html
Letter 3.1235 6 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1235.html
Letter 3.1244 [17 December 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1244.html
Letter 3.1247 23 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1247.html
Letter 3.1307 13 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1307.html
Letter 3.1353 20 August 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1353.html
Letter 3.1383 27 November 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1383.html
Letter 3.1562 6 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1562.html
Letter 3.1563 10 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1563.html
Letter 3.1564 13 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1564.html
Letter 3.1566 15 [January] 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1566.html
Letter 3.1570 [c. 20 January 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1570.html
Letter 3.1575 6 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1575.html
Letter 3.1603 20 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1603.html
Letter 3.1645 16 June 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1645.html
Letter 3.1648 6 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1648.html
Letter 3.1651 8 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1651.html
Letter 3.1676 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1676.html
Letter 3.1681 [mid-September 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1681.html
Letter 3.1702 26 [October 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1702.html
Letter 3.1706 8 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1706.html
Letter 3.1728 [late December 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1728.html
Letter 3.917 29 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.917.html
Letter 3.928 28 April [1804] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.928.html
Letter 3.935 [1] May 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.935.html
Letter 3.956 27 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.956.html
Letter 3.970 30 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.970.html
Letter 3.978 12 September 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.978.html
Letter 3.988 [c. 7 November 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.988.html
Letter 5.2748 30 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2748.html
Letter 5.3039 19 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3039.html
Letter 5.3049 10 December 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3049.html
Letter 5.3063 3 January 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3063.html
Letter 5.3106 27 March [1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3106.html
Letter 5.3185 1 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3185.html
Letter 5.3202 10 October 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3202.html
Letter 6.3331 19 July 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3331.html
Letter 6.3355 3 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3355.html
Letter 6.3364 [15 October 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3364.html
Letter 6.3365 15 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3365.html
Letter 6.3367 [started before and continued on] 18 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3367.html
Letter 6.3402 15 December 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3402.html
Letter 6.3411 1 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3411.html
Letter 6.3527 16 August 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3527.html
Letter 6.3618 27 January [1821],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3618.html
Letter 6.3629 8 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3629.html
Letter 6.3658 25 March 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3658.html
Letter 6.3672 18 April 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3672.html
Letter 7.4291 12 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4291.html
Letters To, URL
