"Frere, Bartholomew"
Mentioned In, URL
Letter 4.1833 2 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1833.html
Letter 6.3488 [29 May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3488.html
Letter 6.3494 19 June 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3494.html
Letter 7.3783 25 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3783.html
Letter 7.3792 1 February [1822],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3792.html
Letter 7.3794 6 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3794.html
Letter 7.3800 13 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3800.html
Letter 7.3804 24 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3804.html
Letter 7.3809 1 March 1822.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3809.html
Letter 7.3813 10 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3813.html
Letter 7.3814 19 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3814.html
Letter 7.3847 27 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3847.html
Letter 7.3890 31 August 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3890.html
Letter 7.3894 9 September 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3894.html
Letter 7.3906 11 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3906.html
Letter 7.3907 14 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3907.html
Letter 7.3908 18 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3908.html
Letter 7.3909 26 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3909.html
Letter 7.3910 30 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3910.html
Letter 7.3911 1 November [1822],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3911.html
Letter 7.3914 3 November 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3914.html
Letter 7.3927 5 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3927.html
Letter 7.3933 15 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3933.html
Letters To, URL
Letter 7.3787 27 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3787.html
Letter 7.3798 10 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3798.html
Letter 7.3888 28 August 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3888.html
Letter 7.3920 17 November 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3920.html
