"Fricker, Edith"
Mentioned In, URL
Letter 1.102 [between c. 3–9 September 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.102.html
Letter 1.110 19 [October] 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.110.html
Letter 1.111 24 [October] 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.111.html
Letter 1.112 [25 October 1794] (9 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.112.html
Letter 1.114 12 November 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
Letter 1.116 1 December [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.116.html
Letter 1.123 [c. 12 January 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.123.html
Letter 1.124 8 [–9] February 1795 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.124.html
Letter 1.125 21 March [1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.125.html
Letter 1.127 [possibly started before and continued on 12 May 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.127.html
Letter 1.128 [started before and continued on] 25 May [1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.128.html
Letter 1.131 [12 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.131.html
Letter 1.133 [c. 22 August 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.133.html
Letter 1.134 [started before and continued on] 1 September [1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.134.html
Letter 1.135 [c. 1 October 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
Letter 1.136 1–10 October 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.137 [started before and continued on] 23 October [1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.137.html
Letter 1.139 17 November 1795 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.139.html
Letter 1.140 [17 November 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.140.html
Letter 1.141 [21–] 22 November [1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.141.html
Letter 1.142 29 [–30] November 1795 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.142.html
Letter 1.143 [late November 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.143.html
Letter 1.145 [December 1795–] 20 February [1796] (10 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.145.html
Letter 1.148 [February–March 1796?],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.148.html
Letter 1.149 24 February – 2 March 1796 (7 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
Letter 1.154 15 May 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.154.html
Letter 1.156 24 May 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.156.html
Letter 1.157 27 May 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.157.html
Letter 1.158 1 June 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.158.html
Letter 1.160 12 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.160.html
Letter 1.162 26 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.166 25 July 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.166.html
Letter 1.167 26 July 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.167.html
Letter 1.186 [c. November 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.186.html
Letter 1.189 [c. early December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.189.html
Letter 1.190 8 December [1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.190.html
Letter 1.191 [c. 8 December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.191.html
Letter 1.192 19 December 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.192.html
