"Fricker, Martha"
Mentioned In, URL
Letter 2.351 5 October [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.351.html
Letter 2.546 13 September 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
Letter 2.573 28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.573.html
Letter 2.679 24 May [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.679.html
Letter 2.752 14 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.752.html
Letter 2.790 [late May-]1 June 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.790.html
Letter 3.1194 26 June 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1194.html
Letter 3.1229 18 October 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1229.html
Letter 3.1250 28 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1250.html
Letter 3.1301 [started before and continued on] 30 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1301.html
Letter 3.1357 11 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1357.html
Letter 3.1435 22 March [1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1435.html
Letter 3.1501 4 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1501.html
Letter 3.1603 20 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1603.html
Letter 3.1690 10 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1690.html
Letter 3.1702 26 [October 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1702.html
Letter 3.1721 14 December 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1721.html
Letter 3.885 [c. 15 January 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.885.html
Letter 3.932 [1] May 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.932.html
Letter 3.946 [late May–before 1 June 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.946.html
Letter 3.968 22 July [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.968.html
Letter 4.1827 13 November 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1827.html
Letter 4.2054 6 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2054.html
Letter 4.2093 9 May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2093.html
Letter 4.2108 4 June 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2108.html
Letter 4.2112 9 June 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2112.html
Letter 4.2116 17[–19] June 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2116.html
Letter 4.2299 5[–7] September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2299.html
Letter 4.2324 5 November [1813],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2324.html
Letter 4.2657 1 October 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
Letter 5.2803 4 June 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2803.html
Letter 5.2980 [28 April 1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2980.html
Letter 5.2985 5 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2985.html
Letter 7.4067 8 October [1823],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4067.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letter 7.4097 30 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4097.html
Letter 7.4125 [c. 23 January 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4125.html
Letters To, URL
