"Fricker, Mary"
Mentioned In, URL
Letter 1.103 7 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.110 19 [October] 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.110.html
Letter 1.157 27 May 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.157.html
Letter 1.158 1 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.158.html
Letter 1.72 12 [–15] December 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.72.html
Letter 1.73 [started before and continued on] 14 December [1793] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.73.html
Letter 1.74 [before 18 December 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.74.html
Letter 1.85 5–6 April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.85.html
Letter 2.408 13 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
Letter 2.627 19 November 1801 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.627.html
Letter 2.633 30 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.633.html
Letter 2.642 21 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.645 28 December 1801-1 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.645.html
Letter 2.649 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
Letter 2.652 26 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
Letter 2.653 [28 January 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.653.html
Letter 2.664 23 March 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.664.html
Letter 2.668 5 April 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
Letter 2.671 18 April [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.671.html
Letter 2.677 17 May [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.677.html
Letter 2.679 24 May [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.679.html
Letter 2.680 [started before and continued on] 28 May 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.680.html
Letter 2.692 9 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.692.html
Letter 2.708 [started before and continued on] 19 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.html
Letter 2.712 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.712.html
Letter 2.752 14 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.752.html
Letter 2.783 16 May 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.783.html
Letter 2.790 [late May-]1 June 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.790.html
Letter 2.826 [24 August 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.826.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 3.1096 24 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1096.html
Letter 3.1117 7 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1117.html
Letter 3.1152 4 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1152.html
Letter 3.1217 19 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1217.html
Letter 3.1332 13 June 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1332.html
Letter 3.1361 20 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1361.html
Letter 3.1397 11 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1397.html
Letter 3.1577 6 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1577.html
Letter 3.1615 18 April 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1615.html
