"Gifford, William"
Letters To:, URL
"Letter 3.1592, 6 March 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1592.html
"Letter 4.1849, 4 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1849.html
"Letter 4.2380, 18 February 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2380.html
"Letter 4.2504.1, 25 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2504.1.html
"Letter 4.2566, 5 March 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2566.html
"Letter 5.2720, 20 February 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2720.html
"Letter 5.2974, 11 April 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2974.html
"Letter 5.3160, 8 July 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3160.html
"Letter 5.3194, 16 September 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3194.html
"Letter 5.3215, 4 December 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3215.html
"Letter 6.3355, 3 October 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3355.html
"Letter 7.3988, [c. 23 March 1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3988.html
Mentioned In:, URL
"Letter 2.484, 2–3 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.484.html
"Letter 2.758, 4 February 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.758.html
"Letter 3.1132, 10 December 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1132.html
"Letter 3.1389, 5 December 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1389.html
