"Gilbert, William"
Mentioned In, URL
Letter 1.195 [26 January 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.195.html
Letter 1.212 26 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.216 [c. 8 May 1797] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.216.html
Letter 1.217 [c. 18 May 1797] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 1.257 [16 September 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.html
Letter 1.259 30 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.259.html
Letter 2.291 7[–8] March 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.339 26 July 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.339.html
Letter 2.437 22 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.437.html
Letter 2.575 3 April 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.575.html
Letter 2.816 3 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.816.html
Letter 6.3659 26 March 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3659.html
Letter 7.3879 1 August 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3879.html
Letter 7.4137 18 February 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4137.html
Letters To, URL
