Gonne  Mary
Mentioned In, URL
Letter 3.1028 26 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1028.html
Letter 3.1179 13 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1179.html
Letter 3.1180 14 May [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1180.html
Letter 3.1186 22 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1186.html
Letter 3.1187 26 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1187.html
Letter 3.1199 5 July 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1199.html
Letter 3.1253 30 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1253.html
Letter 3.1265 24 January [1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1265.html
Letter 3.1305 10 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1305.html
Letter 3.1401 21 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1401.html
Letter 3.1531 10 November 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1531.html
Letter 3.1690 10 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1690.html
Letter 3.1723 22 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1723.html
Letter 3.1726 30 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1726.html
Letter 3.947 1 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.947.html
Letter 4.1731 9 January 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1731.html
Letter 4.2299 5[–7] September 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2299.html
Letter 4.2311 8 October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2311.html
Letter 4.2492 22[–23] October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2492.html
Letter 4.2500 11 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2500.html
Letter 4.2507 30 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2507.html
Letter 4.2520 c. 16 December 1814–]13 January 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2520.html
Letter 4.2621 24 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2621.html
Letter 4.2641 1 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2641.html
Letter 4.2649 23 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
Letter 4.2654 6 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2654.html
