Gooden  James
Mentioned In, URL
Letter 4.2027 1 February 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2027.html
Letter 4.2028 1 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2028.html
Letter 4.2044 22 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2044.html
Letter 4.2057 10 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2057.html
Letter 4.2089 early May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2089.html
Letter 4.2458 10–14 July 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2458.html
Letter 4.2459 started before and continued on 15] July 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2459.html
Letter 4.2672 1 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2672.html
Letter 5.2844 16 September 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2844.html
Letter 5.2857 29 October 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2857.html
Letter 5.3093 15 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3093.html
Letter 5.3217 6 December 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3217.html
Letter 6.3258 5 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3258.html
Letter 6.3261 8 March 1819 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3261.html
Letter 6.3338 [c. 31 July 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3338.html
Letter 6.3510 11 July 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3510.html
Letter 6.3529 29 August 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3529.html
Letter 6.3566 25 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3566.html
Letter 7.3822 10 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3822.html
Letter 7.3828 20 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3828.html
Letter 7.3991 28 March 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3991.html
Letters To, URL
Letter 4.2026.1 1 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2026.1.html
Letter 6.3302 25 May 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3302.html
