"Goodenough, Edmund"
Letters To:, URL
"Letter 6.3476, 3 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3476.html
Mentioned In:, URL
"Letter 6.3372, 27 October 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3372.html
"Letter 6.3583, 16 December 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3583.html
"Letter 6.3679, 30 April 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3679.html
"Letter 6.3711, 12 August 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3711.html
"Letter 7.3890, 31 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3890.html
"Letter 7.4042, 13 July 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4042.html
"Letter 7.4064, 30 September–10 October 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4064.html
"Letter 7.4242, 6 September 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4242.html
