"Hare, Julius Charles"
Mentioned In, URL
Letter 7.3846 27 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3846.html
Letter 7.4013 8 May 1823 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4013.html
Letter 7.4028 7 June 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4028.html
Letter 7.4029 9 June [1823],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4029.html
Letter 7.4145 29 February [1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4145.html
Letter 7.4232 14 August 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4232.html
Letter 7.4290 11 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4290.html
Letters To, URL
Letter 7.4019 13 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4019.html
Letter 7.4135 18 February 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4135.html
